# 战斗组 28 条文案重写
# 格式：key|新文案

confusion|打中别人和被别人打中，都会让脑子变得不太清楚。\n\n-战斗命中时有 25% 概率给对方挂上一个随机状态\n-可能的状态：加速、虚弱、寒冷、隐身、致盲、祝福

frenzy|受了伤的家伙反而更凶。\n\n-怪物受击后攻击力提高 20%\n-持续 2 回合，不叠加

giant|有些东西长得比同类大得多，也更难打死。\n\n-13% 的怪物生命值提高 50%\n-体型同步增大（不影响寻路）

brittle|这里的一切都比看上去更脆。\n\n-玩家与怪物受到的伤害都提高 13%

glass_cannon|你放弃了保护自己，换来了纯粹的破坏力。\n\n-玩家攻击提高 20%\n-生命上限降低 13%

zeal|它们越打越兴奋，手也越来越快。\n\n-怪物每次成功攻击后攻速 +13%\n-最多叠加 3 层（上限 +39%），持续 5 回合

elite_boost|地牢里混进了不少稀有品种。\n\n-精英怪的生命上限、伤害、命中、闪避各提高 20%\n-本项会让精英怪出现，无需其它挑战配合

boss_guards|首领身边总站着几个不好惹的。\n\n-每个 Boss 战额外生成 3 个精英护卫\n-护卫的生命、伤害、命中、闪避各 +20%

popeye|你力气大得惊人，但挥拳的间隔也长了。\n\n-玩家近战物理攻击 +25%\n-攻击速度 -20%

valentine|你的攻击带着某种让人脸红的东西。\n\n-玩家攻击命中后有 13% 概率魅惑目标

aging|它们打着打着就困了。\n\n-普通怪物每回合有 13% 概率睡眠 1 回合\n-Boss 与精英怪免疫

speed_demon|你更快了，但它们也是。\n\n-玩家攻速 +20%\n-怪物移速 +20%

warm_up|第一下只是试探，第二下才是认真的，第三下你会希望自己没挨过。\n\n-对同一目标的伤害递增：第一次 20%，第二次 50%，第三次及以后 110%\n-更换目标后重新计算

spell_combo|法术会自己接上下一句。\n\n-施法后有 13% 概率立即再施放一次\n-不消耗充能，也不消耗回合\n-单次最多追加一次

overkill_guard|力太大了反而打不实。\n\n-单次伤害超过目标最大生命 150% 时，该次伤害被完全免疫\n-只对怪物生效

bloodbath|伤口总比看上去更深。\n\n-任何攻击命中后有 13% 概率使目标流血

retaliation|你打它一下，它立刻还你一下。\n\n-玩家攻击后，怪物有 13% 概率立即反击\n-每回合每只怪最多一次，不消耗怪物回合

growing_fury|伤得越重，它打得越狠。\n\n-怪物每损失 20% 生命，攻击力提高 10%\n-最多叠加 4 层（上限 +40%）

last_stand|退路已经没有了，只剩下往前冲。\n\n-玩家生命低于 30% 时，攻击提高 30%、攻速提高 20%

all_out|谁都不留手了。\n\n-玩家与怪物的攻击各提高 20%

immovable|有时候刀砍上去就像砍在石头上。\n\n-怪物受击时有 13% 概率完全免疫该次伤害

extreme_state|你只剩一口气，但也只剩下杀意。\n\n-开局生命上限降到 10%（最低 10 点）\n-攻击力与命中翻倍

nine_one|命运偶尔会对数字较真。\n\n-最终伤害为 9 的倍数时，改为 1 点

burning_body|挨打的瞬间，你身上着了起来。\n\n-玩家受击时有 13% 概率燃烧

bullet_hell|射出去的东西不再只有一发。\n\n-远程投射物变为 3 发散射：主投射物照常，另外 2 发落在相邻格\n-散射之间有间隙，可以走位躲开

knight|你被裹在厚厚的铁壳里，走得很慢，但也很难被砍穿。\n\n-玩家护甲值 +60%\n-移动速度 -50%

wrath_of_dead|当你半只脚踏进坟墓，反而打出了这辈子最重的一击。\n\n-玩家生命低于 10% 时，造成的伤害翻倍

headshot|距离越远，你越能看清该打哪里。\n\n-玩家与目标距离 5 格以上时，远程攻击伤害必定为最大值
